HR_time,RR-interval,heart_rate
1.1680011243771773,792,76.15189605734766
1.9466685406286286,779,75.37502768127929
2.7630134125051504,817,74.59815930521091
3.579358284381672,817,73.79642644230769
4.38314400438317,804,75.83570592948718
5.136693116884575,754,78.78914518678161
5.865123925635933,729,80.89539253847651
6.606113886262314,741,82.29068902970458
7.3219855431386485,716,82.7718257508177
8.037857200014983,716,83.23665275257108
8.76628800876634,729,81.40675571489491
9.53239627314277,766,77.2416915619753
10.373859448769338,842,73.55776413016882
