HR_time,RR-interval,heart_rate
1.8482955042910836,465.0,55.927748062015496
2.9044643638859884,1081.0,55.30429444299276
4.023500417504399,1056.0,55.972816998330394
5.067095838294604,1119.0,56.67415650450323
6.085544381475405,1043.0,57.73798609251821
7.14171324107031,1018.0,58.966467711301036
8.122441467837007,1056.0,59.721756410256404
9.103169694603704,980.0,59.949902996601786
10.146765115393908,980.0,60.21474448844328
11.114919903355904,1043.0,60.21474448844328
12.095648130122601,968.0,60.44845562567513
13.126670112108105,980.0,59.925477489886866
14.119971777679503,1031.0,60.46212998651305
15.075553126836798,993.0,60.70161176910865
16.094001670017597,955.0,60.204459714100054
17.1124502131984,1018.0,60.77012045378711
18.042884684746294,1018.0,61.267272508795706
19.036186350317692,930.0,60.79407958896825
20.079781771107896,993.0,59.95660784449651
21.047936559069893,1043.0,59.704924616648405
22.05381166344599,968.0,59.938635753880256
23.084833645431495,1005.0,59.938635753880256
24.05298843339349,1031.0,60.19031898172836
25.04629009896489,968.0,59.95660784449651
26.089885519755093,993.0,58.46328473387219
27.133480940545297,1043.0,57.49293975903614
28.1770763613355,1043.0,56.404058324205906
29.28353897614921,1043.0,56.175911737860524
30.339707835744115,1106.0,56.64910465768798
31.358156378924917,1056.0,57.06946353718058
32.439472116129224,1018.0,57.29761012352596
33.48306753691943,1081.0,57.79476217853456
34.47636920249082,1043.0,59.18194648086014
35.482244306866924,993.0,59.18194648086014
36.52583972765713,1005.0,58.930263253012036
37.53171483203323,1043.0,58.21160150602409
38.575310252823435,1005.0,59.18194648086014
39.56861191839483,1043.0,59.95660784449651
40.53676670635683,993.0,59.50568282677858
41.605509004756435,968.0,60.02866096256684
42.57366379271843,1068.0,59.763819470725345
43.55439201948513,968.0,60.687937408270734
44.57284056266593,980.0,60.42309591642924
45.553568789432624,1018.0,59.913276044634365
46.55944389380873,980.0,58.558965274093715
47.653333069817734,1005.0,57.10233706896551
48.70950192941264,1093.0,56.15552873563218
49.765670789007544,1056.0,58.529969696969694
50.733825576969544,1056.0,103.21932303030303
51.04816154708707,1282.0,115.4721367557932
51.689406926126836,641.0,117.867225029838
52.55697420365122,867.0,79.89715664274124
53.3365274095427,779.0,73.9563984728066
54.12865405423888,792.0,76.9797066220107
54.89563382132565,766.0,78.28422111080238
55.637466710803025,741.0,80.46079199202842
56.366726161475704,729.0,82.29068902970458
57.083412173343675,716.0,85.34276066385873
57.749804429992835,666.0,87.9300052962595
58.416196686642,666.0,88.944766380789
59.10773582090057,691.0,86.35752174838822
59.836995271573244,729.0,82.42151679942441
60.603975038660025,766.0,81.40675571489491
61.320661050527995,716.0,82.38621261144664
62.024773623591265,704.0,85.2308707336523
62.716312757849835,691.0,86.78120016835015
63.395278453303696,678.0,88.96614247604246
64.04909727114817,653.0,91.85821156695155
64.67776921138322,628.0,94.8639523076923
65.2938677128136,616.0,94.86395230769229
65.94768653065805,653.0,90.95712213225369
66.66437254252602,716.0,81.88685742637134
67.5193663812457,855.0,71.9553014823154
68.48752116920771,968.0,74.06140939360306
69.15391342585687,1018.0,107.47817409948541
69.5059697123885,641.0,118.00951812800591
70.14721509142827,754.0,114.50811372549018
70.90162141971034,440.0,103.14641372549019
71.34169177787489,1181.0,88.87911418439715
72.52359502551681,691.0,91.28917176015472
73.21513415977537,792.0,71.09059398237694
74.00726080447156,691.0,83.08960404040403
74.69879993873012,741.0,81.12887923300804
75.4406328282075,766.0,81.95668979767106
76.20761259529428,766.0,79.1120316754654
76.97459236238105,955.0,73.08151294219154
77.93017371153834,980.0,67.39827502710116
78.91090193830505,1068.0,60.03563047551003
79.97964423670464,980.0,59.49897797888385
80.96037246347134,1005.0,58.989158107088976
81.96624756784745,1068.0,58.98915810708898
83.03498986624705,1081.0,57.09215393296852
84.11630560345135,1106.0,55.28461075115034
85.22276821826507,1056.0,55.50738918252289
86.27893707785998,968.0,57.66923484848484
87.24709186582197,993.0,59.72846125815113
88.24039353139337,1018.0,60.429800764323964
89.25884207457418,1056.0,58.708331067354266
90.31501093416908,1068.0,57.28706107480028
